case_id,group,condition,physical_success,input_audit_success,paired_initial_carry_rgb_equal,decisions,robot_commands,recoveries,carry_sim_s,total_sim_s,run_wall_s,inference_wall_s,execution_wall_s,hold_permission_sim_s,settle_sim_s,align_sim_s,rejoin_sim_s,final_displacement_cm,lateral_drift_cm,max_sample_gap_s,weld_active_ticks,failure_reason,external_model_calls,external_api_cost_usd
fixed-01,fixed,baseline,True,True,,14,28,0,2.949999999998365,24.759999999997156,8.836827082996024,1.7361081679700874,0.5762887099554064,0,0,0,0,20.855899999999995,0.019100000000005224,0.15,0,,0,0
fixed-01,fixed,sync,True,True,True,14,28,0,2.949999999998365,24.759999999997156,8.696163500004332,1.7090963319787988,0.5808015819930006,0,0,0,0,20.855899999999995,0.019100000000005224,0.15,0,,0,0
fixed-02,fixed,baseline,True,True,,14,28,0,2.949999999998365,24.759999999997156,8.69238070800202,1.7085072900081286,0.5741217920003692,0,0,0,0,20.855899999999995,0.019100000000005224,0.15,0,,0,0
fixed-02,fixed,sync,True,True,True,14,28,0,2.949999999998365,24.759999999997156,8.691019166988553,1.737235792010324,0.5783380809734808,0,0,0,0,20.855899999999995,0.019100000000005224,0.15,0,,0,0
fixed-03,fixed,baseline,True,True,,14,28,0,2.949999999998365,24.759999999997156,8.939228582996293,1.759985668992158,0.6129780420305906,0,0,0,0,20.855899999999995,0.019100000000005224,0.15,0,,0,0
fixed-03,fixed,sync,True,True,True,14,28,0,2.949999999998365,24.759999999997156,8.598184333008248,1.717856376999407,0.5707067520124838,0,0,0,0,20.855899999999995,0.019100000000005224,0.15,0,,0,0
fixed-04,fixed,baseline,True,True,,14,28,0,2.949999999998365,24.759999999997156,8.697798833993147,1.6921078730374575,0.5669132519833511,0,0,0,0,20.855899999999995,0.019100000000005224,0.15,0,,0,0
fixed-04,fixed,sync,True,True,True,14,28,0,2.949999999998365,24.759999999997156,8.759942749995389,1.7965999599982752,0.5728970400232356,0,0,0,0,20.855899999999995,0.019100000000005224,0.15,0,,0,0
fixed-05,fixed,baseline,True,True,,14,28,0,2.949999999998365,24.759999999997156,8.639045582996914,1.7159536670224043,0.5734652079845546,0,0,0,0,20.855899999999995,0.019100000000005224,0.15,0,,0,0
fixed-05,fixed,sync,True,True,True,14,28,0,2.949999999998365,24.759999999997156,8.603161042003194,1.7200026249920484,0.5753679990302771,0,0,0,0,20.855899999999995,0.019100000000005224,0.15,0,,0,0
fixed-06,fixed,baseline,True,True,,14,28,0,2.949999999998365,24.759999999997156,8.674643542006379,1.6987382079823874,0.5708202109963167,0,0,0,0,20.855899999999995,0.019100000000005224,0.15,0,,0,0
fixed-06,fixed,sync,True,True,True,14,28,0,2.949999999998365,24.759999999997156,8.606916999997338,1.711498541990295,0.5710639209719375,0,0,0,0,20.855899999999995,0.019100000000005224,0.15,0,,0,0
fixed-07,fixed,baseline,True,True,,14,28,0,2.949999999998365,24.759999999997156,8.609247249987675,1.7115401259507053,0.5747737910132855,0,0,0,0,20.855899999999995,0.019100000000005224,0.15,0,,0,0
fixed-07,fixed,sync,True,True,True,14,28,0,2.949999999998365,24.759999999997156,8.710642749996623,1.7789422900095815,0.5921310000121593,0,0,0,0,20.855899999999995,0.019100000000005224,0.15,0,,0,0
fixed-08,fixed,baseline,True,True,,14,28,0,2.949999999998365,24.759999999997156,8.665716832998442,1.7248578749859007,0.577870999040897,0,0,0,0,20.855899999999995,0.019100000000005224,0.15,0,,0,0
fixed-08,fixed,sync,True,True,True,14,28,0,2.949999999998365,24.759999999997156,8.58472083399829,1.6951164180209162,0.5655510830401909,0,0,0,0,20.855899999999995,0.019100000000005224,0.15,0,,0,0
fixed-09,fixed,baseline,True,True,,14,28,0,2.949999999998365,24.759999999997156,8.629337416001363,1.707564125987119,0.5729766680306057,0,0,0,0,20.855899999999995,0.019100000000005224,0.15,0,,0,0
fixed-09,fixed,sync,True,True,True,14,28,0,2.949999999998365,24.759999999997156,8.635607250005705,1.7056307889724849,0.5735022070002742,0,0,0,0,20.855899999999995,0.019100000000005224,0.15,0,,0,0
fixed-10,fixed,baseline,True,True,,14,28,0,2.949999999998365,24.759999999997156,8.5680089170055,1.7065279570233542,0.5662777930410812,0,0,0,0,20.855899999999995,0.019100000000005224,0.15,0,,0,0
fixed-10,fixed,sync,True,True,True,14,28,0,2.949999999998365,24.759999999997156,8.614289541001199,1.7138626250089146,0.5733520409994526,0,0,0,0,20.855899999999995,0.019100000000005224,0.15,0,,0,0
departure-r1-020,departure,baseline,True,True,,15,30,0,3.149999999998254,24.959999999997045,8.822502458991949,1.8346440849709325,0.6137540840136353,0,0,0,0,21.987999999999996,0.4537999999999931,0.15,0,,0,0
departure-r1-020,departure,sync,True,True,True,23,46,1,4.749999999997367,26.55999999999616,10.202296541989199,2.8788732930115657,0.9568261669628555,0.7999999999995566,0.3999999999997783,0.7999999999995566,0.3999999999997783,22.667199999999998,0.4647000000000068,0.15,0,,0,0
departure-r1-040,departure,baseline,True,True,,15,30,0,3.149999999998254,24.959999999997045,8.854963624995435,1.8519068729947321,0.6156750430091051,0,0,0,0,20.755999999999997,0.8079999999999865,0.15,0,,0,0
departure-r1-040,departure,sync,True,True,True,31,62,2,6.349999999996481,28.15999999999527,11.566172999999253,3.9249883349402808,1.2767444159835577,1.5999999999991132,0.7999999999995566,0.9999999999994458,0.7999999999995566,20.769899999999996,0.5271000000000248,0.15,0,,0,0
departure-r1-060,departure,baseline,False,True,,13,26,0,2.6499999999985313,19.210000000000232,7.241517083006329,1.5951278340362478,0.5163318769918988,0,0,0,0,,,0.15,0,policy stopped: invalid RGB,0,0
departure-r1-060,departure,sync,True,True,True,32,64,1,6.54999999999637,28.35999999999516,11.808269875007682,4.09290162405523,1.3937682899850188,1.199999999999335,0.3999999999997783,1.7999999999990024,0.7999999999995566,21.6638,0.19180000000000863,0.15,0,,0,0
departure-r1-100,departure,baseline,False,True,,15,30,0,3.0499999999983096,19.61000000000001,7.619343208993087,1.829850873007672,0.6033910829719389,0,0,0,0,,,0.15,0,policy stopped: invalid RGB,0,0
