case_id,condition,success,approach_ok,approach_payload_contact_steps,wall_elapsed_s,approach_elapsed_sim_s,approach_calls,grasp_calls,audit_ok
approach-heldout-01,visual,True,True,0,16.568017249926925,11.300000000000743,114,32,True
approach-heldout-01,playback,False,True,0,8.597985917003825,2.8999999999998023,30,32,True
approach-heldout-02,visual,True,True,0,16.094117499887943,11.50000000000081,116,32,True
approach-heldout-02,playback,True,True,0,8.236854125047103,2.8999999999998023,30,32,True
approach-heldout-03,visual,True,True,0,16.816841040970758,11.100000000000676,112,32,True
approach-heldout-03,playback,False,True,0,8.424161999952048,2.8999999999998023,30,32,True
approach-heldout-04,visual,True,True,0,21.956129000056535,11.50000000000081,116,32,True
approach-heldout-04,playback,False,True,0,23.2291480419226,2.8999999999998023,30,32,True
approach-heldout-05,visual,True,True,0,32.82389412494376,11.50000000000081,116,32,True
approach-heldout-05,playback,False,True,0,15.417663540923968,2.8999999999998023,30,32,True
approach-heldout-06,visual,True,True,0,30.087826958158985,11.900000000000944,120,32,True
approach-heldout-06,playback,False,True,0,14.392950917128474,2.8999999999998023,30,32,True
approach-heldout-07,visual,True,True,0,28.80447354214266,11.50000000000081,116,32,True
approach-heldout-07,playback,False,True,0,15.039973750011995,2.8999999999998023,30,32,True
approach-heldout-08,visual,True,True,0,28.43216074979864,11.900000000000944,120,32,True
approach-heldout-08,playback,False,True,0,9.802706749876961,2.8999999999998023,30,32,True
approach-heldout-09,visual,True,True,0,21.08962474996224,11.900000000000944,120,32,True
approach-heldout-09,playback,False,True,0,8.22385604120791,2.8999999999998023,30,32,True
approach-heldout-10,visual,True,True,0,14.148804165888578,11.300000000000743,114,32,True
approach-heldout-10,playback,False,True,0,8.427186666987836,2.8999999999998023,30,32,True
approach-heldout-11,visual,True,True,0,17.120480250101537,11.50000000000081,116,32,True
approach-heldout-11,playback,False,True,0,10.640648250002414,2.8999999999998023,30,32,True
approach-heldout-12,visual,True,True,0,15.242090165847912,11.300000000000743,114,32,True
approach-heldout-12,playback,False,True,0,7.632992875063792,2.8999999999998023,30,32,True
approach-heldout-13,visual,True,True,0,14.462083332939073,11.700000000000877,118,32,True
approach-heldout-13,playback,False,True,0,7.652595208026469,2.8999999999998023,30,32,True
approach-heldout-14,visual,True,True,0,15.921857042005286,11.900000000000944,120,32,True
approach-heldout-14,playback,False,True,0,11.399847417138517,2.8999999999998023,30,32,True
approach-heldout-15,visual,True,True,0,19.24429375003092,11.50000000000081,116,32,True
approach-heldout-15,playback,False,True,0,9.631058749975637,2.8999999999998023,30,32,True
approach-heldout-16,visual,False,False,0,11.771328583126888,11.700000000000877,116,0,True
approach-heldout-16,playback,False,True,0,9.141484792111441,2.8999999999998023,30,32,True
approach-heldout-17,visual,True,True,0,17.192335290834308,11.50000000000081,116,32,True
approach-heldout-17,playback,True,True,0,9.074744459008798,2.8999999999998023,30,32,True
approach-heldout-18,visual,True,True,0,16.635308250086382,11.50000000000081,116,32,True
approach-heldout-18,playback,False,True,0,8.65452108415775,2.8999999999998023,30,32,True
approach-heldout-19,visual,True,True,0,15.902024334063753,11.100000000000676,112,32,True
approach-heldout-19,playback,False,True,0,9.824632707983255,2.8999999999998023,30,32,True
approach-heldout-20,visual,True,True,0,16.555223500123248,11.50000000000081,116,32,True
approach-heldout-20,playback,False,True,0,8.326895124977455,2.8999999999998023,30,32,True
