case,arrival_success,sim_s,wall_s,decisions,min_circle_clearance_m,max_rgb_error_m,max_wait_s
crossing-independent,False,13.146000000001527,8.1527514999907,37,0.04992854662911417,0.027899888040967016,0.0
crossing-reserved,True,34.477999999997884,21.863647624995792,115,0.4399937370598147,0.02789920003041139,19.445234802573225
head_on-reserved,True,78.95599999999412,65.92550962499809,207,0.21191343669157459,0.028554490162455266,43.37930762881355
following-reserved,True,29.775999999993598,19.05178608300048,95,0.3771162818416426,0.02394004491417976,14.213792659445444
delayed_owner-reserved,True,38.22800000000247,24.923256665992085,130,0.4400063957800806,0.02789920003041139,23.234301420386995
report_gap-reserved,True,36.47800000000033,24.354074125003535,123,0.44000639472390624,0.02789920003041139,21.47279533960756
restart-reserved,True,34.477999999997884,23.515126499987673,115,0.4399937370598147,0.02789920003041139,19.445234802573225
blocked_exit-reserved,False,20.94999999999849,14.87679837498581,71,1.6899999999999973,0.022696478458411554,20.95
