cohort,case_id,condition,success,approach_ok,audit_ok,approach_payload_contact_steps,approach_elapsed_sim_s,total_elapsed_sim_s,wall_elapsed_s,approach_calls,grasp_calls,external_api_calls,external_api_cost_usd,error,raw_dir
heldout,heldout-01,visual,True,True,True,0,33.14999999999565,48.81,47.09945991681889,316,32,0,0,,/Users/changmin/projects/ugrp/outputs/varied-start-heldout-20260910-v1-0/heldout-01-visual
heldout,heldout-01,straight,False,False,True,0,0.2500000000000001,0.2499999999999999,1.2808912920299917,2,0,0,0,RGB outside learned stage support,/Users/changmin/projects/ugrp/outputs/varied-start-heldout-20260910-v1-0/heldout-01-straight
heldout,heldout-03,visual,True,True,True,0,33.94999999999663,49.61,53.94610899989493,324,32,0,0,,/Users/changmin/projects/ugrp/outputs/varied-start-heldout-20260910-v1-0/heldout-03-visual
heldout,heldout-03,straight,False,False,True,0,0.2500000000000001,0.2499999999999999,1.1806462078820914,2,0,0,0,RGB outside learned stage support,/Users/changmin/projects/ugrp/outputs/varied-start-heldout-20260910-v1-0/heldout-03-straight
heldout,heldout-05,visual,True,True,True,0,29.74999999999389,45.410000000000004,52.7089002081193,282,32,0,0,,/Users/changmin/projects/ugrp/outputs/varied-start-heldout-20260910-v1-0/heldout-05-visual
heldout,heldout-05,straight,False,False,True,0,0.2500000000000001,0.2499999999999999,1.4433809160254896,2,0,0,0,RGB outside learned stage support,/Users/changmin/projects/ugrp/outputs/varied-start-heldout-20260910-v1-0/heldout-05-straight
heldout,heldout-07,visual,True,True,True,0,32.14999999999443,47.81,59.0850598749239,306,32,0,0,,/Users/changmin/projects/ugrp/outputs/varied-start-heldout-20260910-v1-0/heldout-07-visual
heldout,heldout-07,straight,False,False,True,0,0.2500000000000001,0.2499999999999999,1.045962791889906,2,0,0,0,RGB outside learned stage support,/Users/changmin/projects/ugrp/outputs/varied-start-heldout-20260910-v1-0/heldout-07-straight
heldout,heldout-09,visual,True,True,True,0,29.549999999994,45.21,54.03875695797615,280,32,0,0,,/Users/changmin/projects/ugrp/outputs/varied-start-heldout-20260910-v1-0/heldout-09-visual
heldout,heldout-09,straight,False,False,True,0,0.2500000000000001,0.2499999999999999,1.6441121250391006,2,0,0,0,RGB outside learned stage support,/Users/changmin/projects/ugrp/outputs/varied-start-heldout-20260910-v1-0/heldout-09-straight
