run,status,arrival_success,safe_refusal,decisions,sim_seconds,wall_seconds,path_m,goal_distance_m,contact_physics_steps,model_cost_usd
heldout_r1-open-map,arrived,True,False,70,21.6499999999981,11.02674320799997,1.9857954012534744,0.12130879027105566,0,0
heldout_r1-open-direct,arrived,True,False,70,21.6499999999981,11.103614749998087,1.9857954012534744,0.12130879027105566,0,0
heldout_r1-slalom-map,arrived,True,False,138,38.65000000000298,23.446178792000865,3.4145649042714,0.1373744068236655,0,0
heldout_r1-slalom-direct,budget_exhausted,False,False,240,64.15000000002863,35.24482429200725,0.5807553364128019,1.6188636857287302,25798,0
heldout_r1-narrow-map,no_map_route,False,True,1,0.2500000000000002,0.7848057500086725,2.0643750650067405e-10,2.030611702773417,0,0
heldout_r3-open-map,arrived,True,False,72,22.29999999999774,11.592166082991753,1.9867919193093742,0.14839201234352623,0,0
heldout_r3-open-direct,arrived,True,False,72,22.29999999999774,11.548242292003124,1.9867919193093742,0.14839201234352623,0,0
heldout_r3-slalom-map,arrived,True,False,147,41.050000000005916,23.19158920799964,3.537162505118162,0.14332619092541726,0,0
heldout_r3-slalom-direct,budget_exhausted,False,False,240,64.30000000002828,34.77631170800305,0.6015312794673278,1.6187492071048286,25537,0
heldout_r3-narrow-map,no_map_route,False,True,1,0.2500000000000002,0.7005015000031563,2.064364667829793e-10,2.0903802720735483,0,0
