id,success,expected_blocked_stop_passed,final_status,decision_rounds,navigation_sim_seconds,min_lift_m,wall_contact_ticks,unexpected_contact_ticks,goal_position_error_m,goal_yaw_error_deg,wall_seconds,vision_hold_rounds,vision_recovery_episodes,vision_recovery_resumes,memory_wheel_observations
l-corner,True,False,done,239,48.699999999999996,0.067004,0,0,0.03238365817816138,0.061835369905125205,48.43472045799717,0,0,0,0
s-bends,True,False,done,326,66.1,0.062573,0,0,0.029168151209838535,0.39876900533169685,63.784726124984445,0,0,0,0
blocked-branch,True,False,done,391,79.1,0.059185,0,0,0.02440854833864556,0.22453776380149207,89.71186479201424,0,0,0,0
