id,success,expected_blocked_stop_passed,final_status,decision_rounds,navigation_sim_seconds,min_lift_m,wall_contact_ticks,unexpected_contact_ticks,goal_position_error_m,goal_yaw_error_deg,wall_seconds,vision_hold_rounds,vision_recovery_episodes,vision_recovery_resumes,memory_wheel_observations
narrow-door,True,False,done,449,90.69999999999999,0.056128,0,0,0.023726816937802608,0.35173063805356775,101.65633704100037,0,0,0,0
l-corner,True,False,done,239,48.699999999999996,0.067004,0,0,0.03238365817816138,0.061835369905125205,58.408205500018084,0,0,0,0
s-bends,True,False,done,326,66.1,0.062573,0,0,0.029168151209838535,0.39876900533169685,74.19615829200484,0,0,0,0
staggered-obstacles,True,False,done,389,78.69999999999999,0.059284,0,0,0.02979332389982705,0.23583291897508635,84.71030129099381,0,0,0,0
blocked-branch,True,False,done,391,79.1,0.059185,0,0,0.02440854833864556,0.22453776380149207,93.64673387497896,0,0,0,0
fully-blocked,False,True,no_route,11,2.099999999999998,0.078431,0,0,1.1480010163919716,90.09169723096429,9.627883666020352,0,0,0,0
