id,success,expected_blocked_stop_passed,final_status,decision_rounds,navigation_sim_seconds,min_lift_m,wall_contact_ticks,unexpected_contact_ticks,goal_position_error_m,goal_yaw_error_deg,wall_seconds
narrow-door,False,False,vision_stop,395,78.9,0.059246,0,0,0.02953739719406572,36.2693579559562,81.65359370800434
l-corner,False,False,vision_stop,84,16.699999999999996,0.07484,0,0,0.9282339141256367,43.40960060636539,24.189839792001294
s-bends,False,False,vision_stop,198,39.49999999999999,0.069536,0,0,0.6514100886269724,0.6768724264355724,45.524047000013525
staggered-obstacles,False,False,track,750,149.9,-0.002141,0,560,0.6002315962668077,46.229601803013395,158.34237533301348
blocked-branch,False,False,vision_stop,317,63.300000000000004,0.063285,0,0,0.5506122303763331,0.4784238295661841,83.84086491700145
fully-blocked,False,True,no_route,10,1.8999999999999986,0.078431,0,0,1.1381780098842182,90.09675535251317,12.826146915991558
